tconst,primaryTitle,startYear,endYear,rank,averageRating,numVotes,directors,writers,genres,IMDbLink,Title_IMDb_Link,Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
tt0903747,Breaking Bad,2008,2013.0,1,9.5,2337473,"Michelle MacLaren, Adam Bernstein, Vince Gilligan, Colin Bucksey, Michael Slovis, Bryan Cranston, Terry McDonough, Johan Renck, Rian Johnson, Scott Winant, Peter Gould, Tricia Brock, Bronwen Hughes, Tim Hunter, Jim McKay, Phil Abraham, John Dahl, Félix Enríquez Alcalá, Charles Haid, Peter Medak, John Shiban, David Slade, George Mastras, Thomas Schnauz, Sam Catlin","Vince Gilligan, Peter Gould, George Mastras, Sam Catlin, Moira Walley-Beckett, Thomas Schnauz, Gennifer Hutchison, John Shiban, J. Roberts, Patty Lin","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">tt0903747</a>","<a href=""https://www.imdb.com/title/tt0903747"" target=""_blank"">Breaking Bad</a>",Breaking Bad,20 Jan 2008,"Crime, Drama, Thriller",49 min,9.5,"2,331,402",
tt0185906,Band of Brothers,2001,2001.0,2,9.4,563157,"David Frankel, Mikael Salomon, Tom Hanks, David Leland, Richard Loncraine, David Nutter, Phil Alden Robinson, Tony To","Stephen Ambrose, Erik Bork, E. Max Frye, Tom Hanks, Erik Jendresen, Bruce C. McKenna, John Orloff, Graham Yost","Action, Drama, History","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">tt0185906</a>","<a href=""https://www.imdb.com/title/tt0185906"" target=""_blank"">Band of Brothers</a>",Band of Brothers,09 Sep 2001,"Action, Drama, History",594 min,9.4,"561,613",
tt7366338,Chernobyl,2019,2019.0,3,9.3,952320,Johan Renck,Craig Mazin,"Drama, History, Thriller","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">tt7366338</a>","<a href=""https://www.imdb.com/title/tt7366338"" target=""_blank"">Chernobyl</a>",Chernobyl,06 May 2019,"Drama, History, Thriller",330 min,9.3,"947,377",
tt0795176,Planet Earth,2006,2006.0,4,9.4,227650,"Alastair Fothergill, Mark Linfield","David Attenborough, Vanessa Berlowitz, Alastair Fothergill, Gary Parker","Documentary, Family","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">tt0795176</a>","<a href=""https://www.imdb.com/title/tt0795176"" target=""_blank"">Planet Earth</a>",Planet Earth,25 Mar 2007,"Documentary, Family",538 min,9.4,"227,238",
tt5491994,Planet Earth II,2016,2016.0,5,9.4,166791,"Justin Anderson, Ed Charles, Fredi Devas, Chadden Hunter, Emma Napper, Elizabeth White",Elizabeth White,Documentary,"<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">tt5491994</a>","<a href=""https://www.imdb.com/title/tt5491994"" target=""_blank"">Planet Earth II</a>",Planet Earth II,18 Feb 2017,Documentary,298 min,9.4,"166,497",
tt0944947,Game of Thrones,2011,2019.0,6,9.2,2438265,"David Nutter, Alan Taylor, Alex Graves, Miguel Sapochnik, Mark Mylod, Jeremy Podeswa, Daniel Minahan, Alik Sakharov, Michelle MacLaren, Brian Kirk, David Benioff, D.B. Weiss, Timothy Van Patten, Neil Marshall, David Petrarca, Michael Slovis, Jack Bender, Daniel Sackheim, Matt Shakman, Tom McCarthy","David Benioff, George R.R. Martin, D.B. Weiss, Dave Hill, Bryan Cogman, Ethan J. Antonucci, Gursimran Sandhu, Vanessa Taylor, Jane Espenson","Action, Adventure, Drama","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">tt0944947</a>","<a href=""https://www.imdb.com/title/tt0944947"" target=""_blank"">Game of Thrones</a>",Game of Thrones,17 Apr 2011,"Action, Adventure, Drama",57 min,9.2,"2,431,624",
tt0141842,The Sopranos,1999,2007.0,7,9.2,526548,"Timothy Van Patten, John Patterson, Allen Coulter, Alan Taylor, Henry Bronchtein, Jack Bender, Steve Buscemi, Daniel Attias, David Chase, Nick Gomez, Matthew Penn, Lorraine Senna, Andy Wolk, Martin Bruestle, Lee Tamahori, James Hayman, Peter Bogdanovich, Mike Figgis, Rodrigo García, Danny Leiner, David Nutter, Steve Shill, Phil Abraham, Terence Winter","David Chase, Terence Winter, Mitchell Burgess, Robin Green, Matthew Weiner, Frank Renzulli, Michael Imperioli, Todd A. Kessler, Diane Frolov, Andrew Schneider, Jason Cahill, Lawrence Konner, Joe Bosso, James Manos Jr., Mark Saraceni, Salvatore Stabile, Timothy Van Patten, David Flebotte, Maria Laurino, Nick Santora, Michael Caleo, Toni Kalem","Crime, Drama","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">tt0141842</a>","<a href=""https://www.imdb.com/title/tt0141842"" target=""_blank"">The Sopranos</a>",The Sopranos,10 Jan 1999,"Crime, Drama",55 min,9.2,"522,544",
tt0417299,Avatar: The Last Airbender,2005,2008.0,8,9.3,407287,"Giancarlo Volpe, Ethan Spaulding, Lauren MacMullan, Dave Filoni, Joaquim Dos Santos, Michael Dante DiMartino, Anthony Lioi, Bryan Konietzko","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, John O'Bryan, Elizabeth Welch Ehasz, Tim Hedrick, Joshua Hamilton, May Chan, James Eagan, Pete Goldfinger, Josh Stolberg, Katie Mattila, Matt Hubbard, Nick Malis, Scott Sonneborn, Sib Ventress, Ian Wilcox, Joann Estoesta, Andrew Huebner, Lauren MacMullan, Justin Ridge, Gary Scheppke, Giancarlo Volpe, Lisa Wahlander","Action, Adventure, Animation","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">tt0417299</a>","<a href=""https://www.imdb.com/title/tt0417299"" target=""_blank"">Avatar: The Last Airbender</a>",Avatar: The Last Airbender,21 Feb 2005,"Animation, Action, Adventure",23 min,9.3,"404,145",
tt0306414,The Wire,2002,2008.0,9,9.3,404134,"Joe Chappelle, Ernest R. Dickerson, Clark Johnson, Ed Bianchi, Steve Shill, Daniel Attias, Timothy Van Patten, Agnieszka Holland, Brad Anderson, Clement Virgo, Rob Bailey, Elodie Keene, Christine Moore, Alex Zakrzewski, Anthony Hemingway, Seith Mann, Milcho Manchevski, Peter Medak, Gloria Muzio, Robert F. Colesberry, Thomas J. Wright, Leslie Libman, Jim McKay, David Platt, Joy Kecken, Scott Kecken, Dominic West","David Simon, Ed Burns, Joy Kecken, Rafael Álvarez, William F. Zorzi, Chris Collins, George Pelecanos, Richard Price, Dennis Lehane, David Mills, Eric Ellis Overmyer, Shamit Choksey, David H. Melnick, Kia Corthron","Crime, Drama, Thriller","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">tt0306414</a>","<a href=""https://www.imdb.com/title/tt0306414"" target=""_blank"">The Wire</a>",The Wire,02 Jun 2002,"Crime, Drama, Thriller",59 min,9.3,"401,271",
tt2861424,Rick and Morty,2013,,10,9.1,651993,"Wesley Archer, Pete Michels, Jacob Hair, Nathan Litz, Kyoung Hee Lim, Bryan Newton, Juan Jose Meza-Leon, Dominic Polcino, Erica Hayes, Lucas Gray, Anthony Chun, Fill Marc Sagadraca, John Rice, Stephen Sandoval, Douglas Einar Olsen, Jeff Myers, Justin Roiland, Eugene Huang","Dan Harmon, Justin Roiland, Tom Kauffman, Eric Acosta, Wade Randolph, Mike McMahan, Siobhan Thompson, Anne Lane, Ryan Ridley, Matt Roller, James Siciliano, Jane Becker, Sarah Carbiener, Erica Rosbe, Florian Wagner, Caitie Delaney, Dave Horwitz, Shawn Pearlman, Edward Voccola, Grace Freud, Alex Song-Xia, Cody Ziglar, Brian Wysol, Albro Lundy IV, David Phillips, Jessica Gao, Jeff Loveness, Brandon Johnson, Alex Rubens, Dan Guterman, Scott Marder, Nicholas Rutherford, Heather Anne Campbell, Tanner Tananbaum, Rob Schrab, Abed Gheith, Rashad Gheith, Jeremy Gilfor, Rich Fulcher, Michael Waldron, John Harris, Michael Kellner, Jess Lacher, Beth Stelling","Adventure, Animation, Comedy","<a href=""https://www.imdb.com/title/tt2861424"" target=""_blank"">tt2861424</a>","<a href=""https://www.imdb.com/title/tt2861424"" target=""_blank"">Rick and Morty</a>",Rick and Morty,02 Dec 2013,"Animation, Adventure, Comedy",23 min,9.1,"653,219",
