Title,Released,Genre,Runtime,imdbRating,imdbVotes,BoxOffice
Breaking Bad,20 Jan 2008,"Crime, Drama, Thriller",49 min,9.5,"2,331,402",
Band of Brothers,09 Sep 2001,"Action, Drama, History",594 min,9.4,"561,613",
Chernobyl,06 May 2019,"Drama, History, Thriller",330 min,9.3,"947,377",
Planet Earth,25 Mar 2007,"Documentary, Family",538 min,9.4,"227,238",
Planet Earth II,18 Feb 2017,Documentary,298 min,9.4,"166,497",
Game of Thrones,17 Apr 2011,"Action, Adventure, Drama",57 min,9.2,"2,431,624",
The Sopranos,10 Jan 1999,"Crime, Drama",55 min,9.2,"522,544",
Avatar: The Last Airbender,21 Feb 2005,"Animation, Action, Adventure",23 min,9.3,"404,145",
The Wire,02 Jun 2002,"Crime, Drama, Thriller",59 min,9.3,"401,271",
Rick and Morty,02 Dec 2013,"Animation, Adventure, Comedy",23 min,9.1,"653,219",
Attack on Titan,28 Sep 2013,"Animation, Action, Adventure",24 min,9.1,"607,219",
Aspirants,07 Apr 2021,Drama,3 min,9.2,"313,882",
Scam 1992: The Harshad Mehta Story,09 Oct 2020,"Biography, Crime, Drama",N/A,9.2,"164,661",
Cosmos: A Spacetime Odyssey,09 Mar 2014,Documentary,557 min,9.2,"134,429",
Sherlock,24 Oct 2010,"Crime, Drama, Mystery",88 min,9.1,"1,045,351",
The Office,24 Mar 2005,Comedy,22 min,9.0,"778,398",
Better Call Saul,08 Feb 2015,"Crime, Drama",46 min,9.0,"728,304",
Arcane,06 Nov 2021,"Animation, Action, Adventure",N/A,9.0,"390,191",
Fullmetal Alchemist: Brotherhood,09 Apr 2009,"Animation, Action, Adventure",54S min,9.1,"222,648",
Blue Planet II,20 Jan 2018,Documentary,364 min,9.3,"51,205",
Friends,22 Sep 1994,"Comedy, Romance",22 min,8.9,"1,147,483",
True Detective,12 Jan 2014,"Crime, Drama, Mystery",55 min,8.9,"705,674",
Death Note,21 Oct 2007,"Animation, Crime, Drama",24 min,8.9,"428,325",
Seinfeld,05 Jul 1989,Comedy,22 min,8.9,"369,752",
One Piece,20 Oct 1999,"Animation, Action, Adventure",24 min,9.0,"295,328",
The Last Dance,19 Apr 2020,"Documentary, Biography, History",491 min,9.0,"166,486",
Hunter x Hunter,17 Apr 2016,"Animation, Action, Adventure",24 min,9.0,"163,018",
Batman: The Animated Series,05 Sep 1992,"Animation, Action, Adventure",23 min,9.0,"126,510",
TVF Pitchers,17 Jun 2015,"Comedy, Drama",40 min,9.1,"75,344",
Our Planet,05 Apr 2019,Documentary,403 min,9.2,"56,622",
Cosmos,28 Sep 1980,Documentary,780 min,9.3,"47,783",
Bluey,30 Sep 2018,"Animation, Family",7 min,9.3,"38,232",
Fargo,05 Apr 1996,"Crime, Drama, Thriller",98 min,8.1,"753,704","$24,611,975"
Ted Lasso,14 Aug 2020,"Comedy, Drama, Sport",30 min,8.8,"398,897",
Succession,03 Jun 2018,"Comedy, Drama",60 min,8.8,"316,845",
Firefly,20 Sep 2002,"Adventure, Drama, Sci-Fi",44 min,8.9,"290,535",
Gravity Falls,15 Jun 2012,"Animation, Adventure, Comedy",23 min,8.9,"151,507",
Cowboy Bebop,02 Sep 2001,"Animation, Action, Adventure",24 min,8.9,"153,589",
The Twilight Zone,02 Oct 1959,"Drama, Fantasy, Horror",51 min,9.0,"100,378",
Leyla and Mecnun,09 Feb 2011,"Adventure, Comedy, Drama",80 min,9.0,"99,646",
Kota Factory,28 Aug 2021,"Comedy, Drama",45 min,9.0,"86,711",
Clarkson's Farm,10 Jun 2021,"Documentary, Comedy, Reality-TV",2 min,9.0,"71,764",
The Chosen,21 Apr 2019,"Drama, History",N/A,9.1,"56,558",
Life,24 Mar 2017,"Horror, Sci-Fi, Thriller",104 min,6.6,"267,717","$30,234,022"
Peaky Blinders,30 Sep 2014,"Crime, Drama",60 min,8.7,"709,128",
Black Mirror,04 Dec 2011,"Crime, Drama, Mystery",60 min,8.7,"697,445",
House,16 Nov 2004,"Drama, Mystery",44 min,8.7,"561,832",
Narcos,28 Aug 2015,"Biography, Crime, Drama",49 min,8.7,"499,956",
Dark,01 Dec 2017,"Crime, Drama, Mystery",60 min,8.7,"490,909",
South Park,13 Aug 1997,"Animation, Comedy",22 min,8.7,"422,709",
Severance,18 Feb 2022,"Drama, Mystery, Sci-Fi",N/A,8.7,"315,421",
It's Always Sunny in Philadelphia,04 Aug 2005,Comedy,22 min,8.8,"266,821",
BoJack Horseman,22 Aug 2014,"Animation, Comedy, Drama",25 min,8.8,"211,619",
Dragon Ball Z,13 Sep 1996,"Animation, Action, Adventure",17S min,8.8,"154,985",
Freaks and Geeks,25 Sep 1999,"Comedy, Drama",44 min,8.8,"158,037",
Curb Your Enthusiasm,15 Oct 2000,Comedy,28 min,8.8,"156,982",
When They See Us,31 May 2019,"Biography, Crime, Drama",296 min,8.8,"147,983",
Dhindora,14 Oct 2021,"Comedy, Drama",N/A,8.8,"123,087",
Fawlty Towers,19 Sep 1975,Comedy,1 min,8.8,"104,975",
Vinland Saga,06 Jul 2019,"Animation, Action, Adventure",24 min,8.8,"99,248",
Last Week Tonight with John Oliver,27 Apr 2014,"Comedy, News, Talk-Show",30 min,8.8,"100,181",
Pride and Prejudice,14 Jan 1996,"Drama, Romance",327 min,8.8,"98,490",
Dragon Ball Z,13 Sep 1996,"Animation, Action, Adventure",17S min,8.8,"154,985",
The West Wing,22 Sep 1999,Drama,1 min,8.9,"91,811",
Bleach: Thousand-Year Blood War,10 Oct 2022,"Animation, Action, Adventure",N/A,9.0,"56,614",
Only Fools and Horses,08 Sep 1981,Comedy,58S min,9.0,"59,881",
Persona,16 Mar 1967,"Drama, Thriller",83 min,8.0,"135,455",N/A
The Blue Planet,27 Jan 2002,Documentary,389 min,9.0,"45,897",
NCR Days,19 Jul 2022,Drama,N/A,9.0,"43,893",
The World at War,31 Oct 1973,"Documentary, History, War",52 min,9.2,"33,202",
Stranger Things,15 Jul 2016,"Drama, Fantasy, Horror",51 min,8.6,"1,447,392",
Dexter,01 Oct 2006,"Crime, Drama, Mystery",53 min,8.6,"841,228",
The Boys,26 Jul 2019,"Action, Comedy, Crime",31S min,8.6,"775,063",
The Last of Us,15 Jan 2023,"Action, Adventure, Drama",18S min,8.6,"655,142",
The Mandalorian,12 Nov 2019,"Action, Adventure, Fantasy",40 min,8.6,"624,158",
House of Cards,01 Feb 2013,Drama,51 min,8.6,"547,637",
Daredevil,10 Apr 2015,"Action, Crime, Drama",54 min,8.6,"507,478",
The Simpsons,17 Dec 1989,"Animation, Comedy",22 min,8.6,"453,793",
Mindhunter,13 Oct 2017,"Crime, Drama, Mystery",60 min,8.6,"369,129",
Arrested Development,02 Nov 2003,Comedy,22 min,8.7,"331,791",
Parks and Recreation,09 Apr 2009,Comedy,22 min,8.6,"303,589",
Yellowstone,20 Jun 2018,"Drama, Western",60 min,8.6,"275,083",
Invincible,26 Mar 2021,"Animation, Action, Adventure",N/A,8.7,"276,167",
Mad Men,19 Jul 2007,Drama,47 min,8.7,"276,112",
The Crown,04 Nov 2016,"Biography, Drama, History",58 min,8.6,"269,973",
Downton Abbey,09 Jan 2011,"Drama, Romance",58 min,8.7,"235,399",
Twin Peaks,08 Apr 1990,"Crime, Drama, Mystery",1 min,8.7,"232,520",
Fleabag,16 Sep 2016,"Comedy, Drama",27 min,8.7,"226,594",
One Punch Man,05 Oct 2015,"Animation, Action, Comedy",24 min,8.7,"201,415",
Naruto: Shippuden,28 Oct 2009,"Animation, Action, Adventure",24 min,8.7,"196,375",
Rome,28 Aug 2005,"Action, Drama, Romance",52 min,8.7,"195,627",
Battlestar Galactica,14 Jan 2005,"Action, Adventure, Drama",44 min,8.7,"182,582",
This Is Us,20 Sep 2016,"Comedy, Drama, Romance",45 min,8.7,"167,538",
Six Feet Under,03 Jun 2001,"Comedy, Drama",55 min,8.7,"159,421",
The Marvelous Mrs. Maisel,17 Mar 2017,"Comedy, Drama",57 min,8.7,"150,879",
Star Trek: The Next Generation,26 Sep 1987,"Action, Adventure, Drama",44 min,8.7,"143,530",
1883,19 Dec 2021,"Drama, Western",N/A,8.7,"139,308",
Top Gear,20 Oct 2002,"Adventure, Sport, Talk-Show",1 min,8.7,"132,421",
Oz,12 Jul 1997,"Crime, Drama, Thriller",31S min,8.7,"111,547",
The Family Man,22 Dec 2000,"Comedy, Drama, Fantasy",125 min,6.8,"125,928","$75,793,305"
The Shield,12 Mar 2002,"Crime, Drama, Thriller",47 min,8.7,"92,923",
Blue Eye Samurai,03 Nov 2023,"Animation, Action, Adventure",N/A,8.7,"91,019",
Code Geass,N/A,"Animation, Action, Drama",24 min,8.7,"91,077",
The Grand Tour,18 Nov 2016,"Comedy, Sport, Talk-Show",2 min,8.7,"90,374",
Steins;Gate,06 Apr 2011,"Animation, Comedy, Drama",24 min,8.8,"82,639",
Monty Python's Flying Circus,02 Oct 2018,Comedy,31S min,8.8,"81,970",
Chappelle's Show,22 Jan 2003,"Comedy, Music",22 min,8.8,"75,917",
Blackadder Goes Forth,28 Sep 1989,"Comedy, War",175 min,8.8,"57,307",
The Pitt,09 Jan 2025,Drama,N/A,8.9,"35,004",
Nathan for You,28 Feb 2013,"Documentary, Comedy",30 min,8.9,"43,078",
Frieren: Beyond Journey's End,29 Sep 2023,"Animation, Adventure, Comedy",N/A,8.9,"36,729",
Frozen Planet,18 Mar 2012,Documentary,333 min,9.0,"35,616",
The Vietnam War,17 Sep 2017,"Documentary, History, War",990 min,9.1,"31,028",
Human Planet,13 Jan 2011,Documentary,50 min,9.0,"29,671",
Gullak,27 Jun 2019,"Comedy, Drama, Family",24 min,9.1,"26,337",
Halka,15 Jan 2019,"Action, Crime, Drama",120 min,9.1,"17,404",
The Queen's Gambit,23 Oct 2020,Drama,395 min,8.5,"612,306",
Vikings,03 Mar 2013,"Action, Adventure, Drama",44 min,8.5,"618,823",
Modern Family,23 Sep 2009,"Comedy, Drama, Romance",22 min,8.5,"511,285",
Mr. Robot,24 Jun 2015,"Crime, Drama, Thriller",49 min,8.5,"440,930",
Ozark,21 Jul 2017,"Crime, Drama, Thriller",60 min,8.5,"369,847",
Sons of Anarchy,03 Sep 2008,"Crime, Drama, Thriller",45 min,8.5,"340,237",
Shameless,09 Jan 2011,"Comedy, Drama",46 min,8.5,"312,399",
The Haunting of Hill House,12 Oct 2018,"Drama, Horror, Mystery",572 min,8.5,"309,942",
Community,17 Sep 2009,Comedy,22 min,8.5,"303,867",
Hannibal,09 Feb 2001,"Crime, Drama, Thriller",131 min,6.8,"303,710","$165,092,268"
Futurama,28 Mar 1999,"Animation, Adventure, Comedy",22 min,8.5,"270,745",
The Bear,23 Jun 2022,"Comedy, Drama",N/A,8.5,"269,492",
Spartacus,22 Jan 2010,"Action, Adventure, Biography",55 min,8.5,"267,111",
The X-Files,10 Sep 1993,"Adventure, Crime, Drama",45 min,8.6,"262,046",
Doctor Who,17 Mar 2006,"Adventure, Drama, Sci-Fi",45 min,8.5,"257,803",
Shogun,27 Feb 2024,"Action, Adventure, Drama",N/A,8.6,"216,063",
Boardwalk Empire,19 Sep 2010,"Crime, Drama",55 min,8.6,"210,997",
The Penguin,19 Sep 2024,"Crime, Drama",N/A,8.6,"197,341",
Demon Slayer: Kimetsu no Yaiba,22 Jan 2021,"Animation, Action, Adventure",25 min,8.6,"189,536",
Archer,17 Sep 2009,"Animation, Action, Comedy",22 min,8.6,"171,873",
Mr. Bean,02 Apr 1992,"Comedy, Family",25 min,8.6,"143,333",
The Newsroom,24 Jun 2012,Drama,55 min,8.6,"129,987",
Justified,16 Mar 2010,"Action, Crime, Drama",21S min,8.6,"125,612",
Deadwood,21 Mar 2004,"Crime, Drama, History",31S min,8.6,"123,541",
Adventure Time,05 Apr 2010,"Animation, Action, Adventure",11 min,8.6,"123,246",
What We Do in the Shadows,13 Feb 2015,"Comedy, Horror",86 min,7.6,"207,978","$3,469,224"
Atlanta,06 Sep 2016,"Comedy, Drama, Music",1 min,8.6,"94,204",
Dopesick,13 Oct 2021,Drama,31S min,8.6,"83,950",
Over the Garden Wall,03 Nov 2014,"Animation, Short, Adventure",110 min,8.7,"80,713",
Friday Night Lights,03 Oct 2006,"Drama, Sport",44 min,8.7,"75,228",
Line of Duty,21 Aug 2012,"Crime, Drama, Mystery",60 min,8.7,"75,786",
Peep Show,12 Nov 2004,Comedy,N/A,8.7,"68,142",
Berserk,28 May 2002,"Animation, Action, Adventure",2 min,8.7,"65,715",
Monster,30 Jan 2004,"Biography, Crime, Drama",109 min,7.3,"167,784","$34,469,210"
Crash Landing on You,14 Dec 2019,"Adventure, Comedy, Drama",70 min,8.7,"50,933",
Das Boot,10 Feb 1982,"Drama, War",149 min,8.4,"273,687","$11,487,676"
The Beatles: Get Back,25 Nov 2021,"Documentary, Biography, Music",N/A,8.9,"31,521",
Dekalog,10 Dec 1989,Drama,572 min,8.9,"29,065",
As If,01 Jan 2021,Comedy,30 min,9.0,"24,369",
Undercover,17 Apr 2011,"Action, Crime, Drama",60 min,8.9,"28,108",
Ramayan,25 Jan 1987,"Adventure, Drama, Family",30 min,9.0,"24,610",
Taskmaster,26 Apr 2018,"Comedy, Game-Show",60 min,9.0,"24,534",
When Life Gives You Tangerines,07 Mar 2025,"Drama, History, Romance",N/A,9.3,"13,664",
Çilgin Dersane at the University,09 Jun 2014,Comedy,90 min,3.6,324,
Westworld,02 Oct 2016,"Drama, Mystery, Sci-Fi",62 min,8.4,"547,946",
Suits,23 Jun 2011,"Comedy, Drama",44 min,8.4,"516,776",
Supernatural,13 Sep 2005,"Drama, Fantasy, Horror",44 min,8.4,"511,743",
Brooklyn Nine-Nine,17 Sep 2013,"Comedy, Crime",22 min,8.4,"395,598",
The Punisher,17 Nov 2017,"Action, Crime, Drama",53 min,8.4,"283,682",
Scrubs,02 Oct 2001,"Comedy, Drama",1 min,8.4,"274,279",
Fringe,09 Sep 2008,"Drama, Mystery, Sci-Fi",2 min,8.4,"263,928",
Big Little Lies,19 Feb 2017,"Crime, Drama, Mystery",30S min,8.4,"232,837",
Cobra Kai,02 May 2018,"Action, Comedy, Drama",30 min,8.4,"230,533",
Andor,21 Sep 2022,"Action, Adventure, Drama",N/A,8.4,"202,532",
Person of Interest,22 Sep 2011,"Action, Crime, Drama",43 min,8.5,"198,514",
The Expanse,23 Nov 2015,"Drama, Mystery, Sci-Fi",60 min,8.5,"183,889",
The Last Kingdom,10 Oct 2015,"Action, Drama, History",60 min,8.5,"178,082",
Silicon Valley,06 Apr 2014,Comedy,28 min,8.5,"174,434",
The IT Crowd,03 Feb 2006,Comedy,1 min,8.5,"170,910",
Schitt's Creek,11 Feb 2015,Comedy,22 min,8.5,"161,193",
Jujutsu Kaisen,02 Oct 2020,"Animation, Action, Adventure",24 min,8.5,"151,707",
Spartacus: Gods of the Arena,21 Jan 2011,"Action, Adventure, Biography",331 min,8.5,"148,715",
The Office,24 Mar 2005,Comedy,22 min,9.0,"778,398",
Making a Murderer,18 Dec 2015,"Documentary, Crime",60 min,8.5,"105,113",
Neon Genesis Evangelion,20 Aug 1997,"Animation, Action, Drama",24 min,8.5,"97,655",
Bosch,06 Feb 2014,"Crime, Drama",51 min,8.5,"89,206",
Heartstopper,22 Apr 2022,"Drama, Romance",N/A,8.5,"84,508",
Louie,29 Jun 2010,"Comedy, Drama",22 min,8.5,"83,073",
Twin Peaks,08 Apr 1990,"Crime, Drama, Mystery",1 min,8.7,"232,520",
Battlestar Galactica,14 Jan 2005,"Action, Adventure, Drama",44 min,8.7,"182,582",
Fullmetal Alchemist,06 Nov 2004,"Animation, Action, Adventure",1 min,8.5,"80,925",
The Bridge,21 Sep 2011,"Crime, Mystery, Thriller",52S min,8.6,"79,518",
Anne with an E,12 May 2017,"Drama, Family",1 min,8.6,"73,992",
